Work Order,Description,Work Type,Location
WDW1139569,425030 - Safety - Smoke detector failure,CM,707030
WDW1139346,707016 425 DVR replace,CM,707016
WDW1139342,707002 424 DCU2 failed C door,CM,707002
WDW1139334,RDA - 421024 -  RDA ongoing issues showing offline. REPEAT,CM,707024
WDW1139315,425007 HVAC controller 2317041,CM,707007
WDW1139313,421017 DVR 2439608 replaced,CM,707017
WDW1139312,421025 TPWS timing failure 2898115,CM,707025
WDW1139311,425025 DVR 243960 replaced,CM,707025
WDW1139310,423025 DOO Camera 2433107 replaced,CM,707025
WDW1139308,425014 Nexus Voice GSM-R Mobile Cab radio replaced,CM,707014
WDW1139230,Hvac CONTROLLER A2V00002317041,CM,707023
WDW1139160,707007 421 HVAC controller replace,CM,707007
WDW1139150,707013 router down,CM,707013
WDW1139149,707029 DCU replace 423029 B doors,CM,707029
WDW1139148,707002 425 DOO camera replacement,CM,707002
WDW1139147,707002 425 DOO camera replace,CM,707002
WDW1139146,707005 425 DOO camera replace,CM,707005
WDW1139145,707019 SPCS A1 is not available,CM,707019
WDW1139144,707002 TCU-11 network down,CM,707002
WDW1139143,Saloon CCTV vice DOO 707029,CM,707029
WDW1139106,,CM,
WDW1139105,,CM,
WDW1139037,EXTERIOR-UNIT- Protective caps on HVAC filter doors damaged.(RAR),CM,707024
WDW1138803,RDA - 425024 - Replace RDA due to ongoing issues,CM,707024
WDW1138766,RDA - 421024 - Replace RDA due to ongoing issues,CM,707024
WDW1138759,Cab - 421024 - Replace Driver's seat pedestal top plate,CM,707024
WDW1138758,Cab - 425024 - Replace Driver's seat pedestal top plate,CM,707024
WDW1138741,INTERIOR-423- Tip up seat nearest B1 door loose on right hand side,CM,707030
WDW1138622,Cab HVAC replacement 425008,CM,707008
WDW1138488,HVAC controller changed.,CM,707006
WDW1138486,"INTERIOR - 707030 - X4 230v sockets required, cracked.",CM,707030
WDW1138485,"INTERIOR-Unit-16off 240v seat socket cracked, to be replaced.",CM,707024
WDW1138479,BLG1 Changed on 707003,CM,707003
WDW1138478,DVR replaced due to failed OTM screens twice,CM,707020
WDW1138477,HVAC Controller replaced,CM,707006
WDW1138390,707014 - 421 DOO function fault,CM,707014
WDW1138386,707014 - 425 DOO function fault,CM,707014
WDW1138385,422010 - HVAC replacement,CM,707010
WDW1138383,PIS-421024-RDA offline.,CM,707024
WDW1138379,Battery charger replaced 423012,CM,707012
WDW1138378,Gateway valve recurring minor fault 425004,CM,707004
WDW1138364,"PIS-707024-Loss of Redundancy for ASDO-, CCTV- and PIS-functionallities.",CM,707024
WDW1138363,SAFETY-425030-707030 - 5 - JRU  - data memory fault - RB1,CM,707030
WDW1138352,BRAKES - 422024 - B22 switch on 422 replace and test. see attachments.,CM,707024
WDW1138349,medium fault smart valve,CM,707020
WDW1138348,loss of coms between ATO/JRU,CM,707001
WDW1138347,battery charger replace,CM,707010
WDW1138345,Interior - 423030 - Replace first aid kit in emergency equipment cupboard with correct type,CM,707030
WDW1138337,Underframe - 707030 - Unit checks required following dragging brake on 707024,CM,707030
WDW1138336,Underframe - 422024 - Emergency Brake application due to dragging parking brake 422 (HRD),CM,707024
WDW1138332,707011 -425- DOO cameras not visible.,CM,707011
WDW1138331,707022 - 425- Cab HVAC not working,CM,707022
WDW1138330,707018 - 421 end cab heating failure,CM,707018
WDW1137092,INTERIOR-422030-Ceiling panel panel latch replaced,CM,707030
WDW1137079,707030-Brake resistor M12X40 SCREWS.,CM,707030
WDW1137073,Faulty DVR on 421015,CM,707015
WDW1137064,421 Drivers seat replaced,CM,707025
WDW1137053,DVR replaced due to rogue DVR from stock previously issued,CM,
WDW1137052,Please replace  425 DVR,CM,707021
WDW1137051,Please replace 421 Smart Valve(BCU),CM,707012
WDW1137038,RDA - Factory reset required (LOM) 17/03/2024,CM,707024
WDW1137036,DOORS - 425030 - D1 nose seal torn at the bottom edge,CM,707030
WDW1137030,Safety - 422030 - smoke detector fan noisy,CM,707030
WDW1137029,Carbody - 425030 - A side front buffer cover requires inspected,CM,707030
WDW1137028,DOO camera replaced due to failed stream,CM,707002
WDW1137027,asset swap,CM,707025
WDW1137005,DVR replace,CM,707027
WDW1137004,DOO camera replace,CM,707025
WDW1137003,GSMR replace,CM,707005
WDW1136994,"UNDERFRAME - 423024 - Hot axle box, axle 2 left & axle 1 left temp implausible, intermittent.",CM,707024
WDW1136992,707003 - 423 Medium smart valve fault,CM,707003
WDW1136990,DOORS - 707030 - Unable to release doors and MSDO not working when attempted,CM,707030
WDW1136986,PIS-421030-Cab to cab phone is not working in unit 707030,CM,707030
WDW1136949,707021 425 DVR inactive,CM,707021
WDW1136948,RDA-421/425- RDA keep going offline.,CM,707024
WDW1136866,JRU-421-Downloads required from 27/02/24,CM,707024
WDW1136828,RDA-421/425- both offline.,CM,707024
WDW1136798,battery charger replaced,CM,707010
WDW1136797,battery charger replaced,CM,707010
WDW1136796,IMPN module replaced due to ELV and BCU loss of coms,CM,707010
WDW1136795,UNDERFRAME - 421024 - Flange lube hose adrift at elbow joint next to nozzle.,CM,707024
WDW1136713,PIS - 425024 - cab handset no speech,CM,707024
WDW1136704,CAB - 421024 - Unable to cancel AWS,CM,707024
WDW1136693,707018 421 HVAC controller replaced,CM,707018
WDW1136692,707014 RB6 BLG 2 Replace,CM,707014
WDW1136689,"CCTV - 424024 - DOO camera image flickering intermittently, B side.(REPEAT)2",CM,707024
WDW1136673,underframe-423024-AO1 Battery chargers replace and test,CM,707024
WDW1136672,Saloon-707030-Saloon fire extinguishers replace,CM,707030
WDW1136671,Bogies-707024-Z4 measurements for Engineering,CM,707024
WDW1136670,underframe-423024-AO2 Battery chargers replace and test,CM,707024
WDW1136614,PA handset replaced,CM,707028
WDW1136613,IM PN module changed,CM,707008
WDW1136602,CAB-707030-Cable markers required,CM,707030
WDW1136601,CAB-425030-Broken lid bin panel latch,CM,707030
WDW1136582,UNDERFRAME-423024-Battery charger controller to replace,CM,707024
WDW1136576,EP2002 Gateway valve replaced,CM,707007
WDW1136566,DCU replacement 421 Door D,CM,707027
WDW1136565,Restricted Air Spring fault on coach 422,CM,707028
WDW1136541,ETB link replaced,CM,707002
WDW1136529,707022 - 422 smart valve replacement,CM,707022
WDW1136481,707002 - 424 TFT master blank,CM,707002
WDW1136480,Underframe - 423024 - Battery charger A02 to be replaced,CM,707024
WDW1136466,422 BCU failed brake test - replace,CM,707022
WDW1136465,421 SPCS replaced,CM,707012
WDW1136463,421 SPSR replaced,CM,707012
WDW1136462,425 SPCS replaced,CM,707012
WDW1136461,425 SPSR replaced,CM,707012
WDW1136451,PIS-425024-Announcements not clear and it cuts out.,CM,707024
WDW1136444,DCU replaced,CM,707008
WDW1136443,Carry out RFBE005 Check - Full Unit,CM,707030
WDW1136438,ETB Link problems,CM,707015
WDW1136434,Drivers seat replaced,CM,707005
WDW1136356,CAB - 425030 - button cover flap broken,CM,707030
WDW1136351,DOO camera replaced,CM,707023
WDW1136340,DVR Changed by LSER,CM,707009
WDW1136326,UNDERFRAME-423024-Battery chargers. Output current discrepancy.,CM,707024
WDW1136317,Interior - 425030 - missing large priority label at seats by A2 door,CM,707030
WDW1136316,Interior - 421024 - Power socket at seats next to cab door missing frame,CM,707024
WDW1136311,PIS-7024/7030- No audio at stations on PIS from Epsom to Waterloo.,CM,707024
WDW1136310,DOORS-7024- On pressing door release at Epsom platform 4 arriving from Epsom Up Sidings.,CM,707024
WDW1136210,UNDERFRAME-707024-Battery charger faulty RBF.,CM,707024
WDW1136209,Leaking damper,CM,707005
WDW1136204,INTERIOR-425024-Cab fire extinguisher expires in FEB,CM,707024
WDW1136200,Underframe - 707024 - Lathe. Check and turn as required 421 & 425 coaches,CM,707024
WDW1136199,CCTV - 425024 - DOO function fault. (loss of DOO image on B side),CM,707024
WDW1136183,Coach 422 BLG2 replaced,CM,707021
WDW1136175,Car controller replaced,CM,707028
WDW1136059,DOO camera replaced 425 Side A,CM,707008
WDW1136052,RUNNING GEAR-Sanding over due. To top up as required,CM,707030
WDW1136051,RUNNING GEAR-Sanding over due. To top up as required,CM,707024
WDW1136039,No response from HVAC coach 422,CM,707007
WDW1136031,supply air fan changed 425,CM,707013
WDW1136030,supply air fan replaced 425,CM,707013
WDW1136029,"CCTV - 424024 - DOO camera image flickering intermittently, B side.(REPEAT)",CM,707024
WDW1136025,PIS Side dsiplay changed,CM,707022
WDW1136024,PIS side display changed,CM,707022
WDW1136019,425 side B camera replaced,CM,707004
WDW1136008,707001 Cab HVAC heating failure,CM,707001
WDW1135989,PIS - 423024 - Call for aid button stuck in next to single tip up seat,CM,707024
WDW1135981,AIR - 423030 - Compressor noisy. Requires replaced.RQAP204,CM,707030
WDW1135966,"CCTV - 424024 - DOO camera image flickering intermittently, B side.",CM,707024
WDW1135953,Cab - 421024 - HMI shows no comms to CCU - MON until 21/12,CM,707024
WDW1135952,"421 - droplight lower seal deformed, A side. NPN",CM,707030
WDW1135951,"425 - droplight seal damaged, B side NPN",CM,707030
WDW1135944,battery tray replaced 423,CM,707007
WDW1135943,battery tray replaced 422,CM,707007
WDW1135939,421 Door B DCU replace,CM,707007
WDW1135934,INTERIOR-707024-Ripped seat base,CM,707024
WDW1135924,CCTV-421-DOO fault. To Monitor,CM,707030
WDW1135920,BRAKES - 425030 - Emergency Stop button 2nd mans side pressed (See comments),CM,707030
WDW1135910,"PIS - 421024 - Cab handset no sound, prep defect.",CM,707024
WDW1135896,,CM,707024
WDW1135878,707016 421 CCTV configuration issues,CM,707016
WDW1135877,707005 cab HVAC heating failure,CM,707005
WDW1135876,707005 medium fault smart valve,CM,707005
WDW1135875,707029 425 system controller version incorrect,CM,707029
WDW1135874,707029- No PIS audio,CM,707029
WDW1135864,EXTERNAL-UNIT- Caps missing on Saloon HVAC filter lid(RAR),CM,707030
WDW1135863,PIS-421-MMI down arrow button intermittently working. Up arrow button working OK.,CM,707030
WDW1135858,Underframe - 425030 - Depot horn particle protector torn,CM,707030
WDW1135674,Underframe - 707030 - Carry out checks on flender couplers as per TL0183,CM,707030
WDW1135673,Underframe - 707024 - Carry out checks on flender couplers as per TL0183,CM,707024
WDW1135665,7070016 421 Door E loss of interlock,CM,707016
WDW1135664,707003 - BCU calibrations failed,CM,707003
WDW1135662,INTERIOR-421024-Cab fire extinguisher to replace,CM,707024
WDW1135659,INTERIOR-424-Ceiling panel catch hinge distorted. To be replaced.,CM,707030
WDW1135658,INTERIOR-425-Ceiling panel catch hinge distorted. To be replaced. Smoke detect panel.,CM,707030
WDW1135642,"Interior - 423024 - door release sticker missing, found on prep",CM,707024
WDW1135633,cab HVAC change,CM,707021
WDW1135629,HVAC control unit replaced,CM,707018
WDW1135628,BLG replaced,CM,707023
WDW1135627,SPCS replaced,CM,707028
WDW1135625,Doors - 421024 - Door control fault on GOP in cab,CM,707024
WDW1135622,BLG changed LSER,CM,707023
WDW1135620,DOORS - Prep Defect When Releasing Doors,CM,707030
WDW1135617,PIS - No TFT display throughout train,CM,707029
WDW1135606,707025 heating and ventilation failure,CM,707025
WDW1135601,Doors - 425030 - anti slip damaged on footplate at cab door E & F,CM,707030
WDW1135600,CCTV - 421030 - Lower CCTV screen requires replaced as picture is becoming pixulated,CM,707030
WDW1135599,Safety - 421024 - Saloon fire extinguisher by B door is out of date,CM,707024
WDW1135597,707025 heating and ventilation failure,CM,707025
WDW1135595,Cab HVAC replaced 421,CM,707015
WDW1135594,Underframe - 707030 - Carry out inspection over pit,CM,707030
WDW1135593,Underframe - 707024 - Carry out inspectipon over pit,CM,707024
WDW1135590,707012 Cab HVAC heating failure,CM,707012
WDW1135589,Cab HVAC replaced 425,CM,707002
WDW1135586,Battery charger replaced on 423,CM,707015
WDW1135584,DVR replaced on 424 Side A,CM,707017
WDW1135583,707016 - No PA announcements,CM,707016
WDW1135580,Smart valve replaced,CM,707002
WDW1135578,DOO function fault no DOO/Saloon cameras,CM,707002
WDW1135566,INTERIOR - Safety Notice Stickers To Fit Above Doors,CM,707024
WDW1135564,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135563,Visual information facilities - Communications - Passenger Information System - Function Test,CM,707024
WDW1135562,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135561,SC_Safety Systems - AWS examine,CM,707024
WDW1135560,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135559,Passenger counting device - Inspection - Function Test,CM,707024
WDW1135558,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135557,"Indicating, recording, display devices - Smoke detectors - Function Test",CM,707024
WDW1135556,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135555,Safety systems - Smoke detectors - Clean and inspect,CM,707024
WDW1135554,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135553,Bogies - Wheel flange lubrication - Functional test,CM,707024
WDW1135552,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135551,Floor - DSD - Function test and clean,CM,707024
WDW1135550,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135549,Interior lighting equipment - Saloon emergency lighting - Inspect,CM,707024
WDW1135548,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135547,Drivers seat - Pivot adapter and height adjustment system - Service,CM,707024
WDW1135546,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135545,Floor - Cab foot rest - Function test,CM,707024
WDW1135544,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135543,Vehicle fitting out - Cab back wall door - Service,CM,707024
WDW1135542,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135541,Complete vehicle - E-cabinets including bonding connections - Inspect,CM,707024
WDW1135540,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135539,External doors - Saloon doors - Inspect,CM,707024
WDW1135538,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135537,Complete vehicle - Post works interior - Examine,CM,707024
WDW1135536,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135535,Complete vehicle - Post works exterior - Examine,CM,707024
WDW1135534,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135533,Vehicle body - Car body - Inspect,CM,707024
WDW1135532,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135531,External doors - Cab door - Inspect,CM,707024
WDW1135530,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135529,Vehicle linkage devices - Automatic coupler - Service,CM,707024
WDW1135528,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135527,SC_Power dissipation - Low resistance equipotential bonding - Examine,CM,707024
WDW1135526,"BLOCK_05 - Prep, Exam B23C",CM,707024
WDW1135525,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135524,Visual information facilities - Communications - Passenger Information System - Function Test,CM,707024
WDW1135523,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135522,SC_Safety Systems - AWS examine,CM,707024
WDW1135521,The work instruction for this task is on the Maintenance Portal,CM,707024
